slope,aspect,twi,rainfall,ndvi,landcover,river_proximity,landslide
33.680378,22.625198,14.462999,19576.125,0.58408046,60.0,345.8016,1
57.64663,213.83725,13.766444,19576.125,0.5294,10.0,77.28831,1
55.53401,38.94057,13.606275,19576.125,0.48332867,30.0,255.62737,1
43.447433,16.858353,14.045529,19576.125,0.55233866,10.0,295.26074,1
31.877373,227.40817,14.10143,19576.125,0.4854503,30.0,136.72443,1
29.585938,3.6985564,14.8166895,19576.125,0.62977713,10.0,660.51935,1
34.24986,3.0835013,14.585281,19576.125,0.70273197,10.0,480.74738,1
42.522247,13.86459,14.375783,19576.125,0.5798301,10.0,757.43304,1
35.340446,343.49646,13.939392,22088.53,0.6762878,10.0,39.274258,1
46.79791,281.3985,13.920029,19576.125,0.35734576,60.0,357.01556,1
36.9063,18.481398,14.224962,22088.53,0.6614932,10.0,199.73131,1
34.24986,356.9165,14.473446,19576.125,0.6521919,10.0,436.54974,1
29.81311,312.6884,14.532942,19576.125,0.59947914,60.0,723.7995,1
45.72624,341.25372,13.710975,22088.53,0.6038804,10.0,171.43074,1
50.83398,298.3406,13.990061,19576.125,0.55969894,10.0,238.93713,1
29.037737,106.95269,15.121018,18049.291,0.6387445,10.0,739.50305,1
